TP9,AF7,AF8,TP10
18.066,11.719,-4.395,-4.883
33.691,20.996,2.441,1.953
24.902,21.973,6.836,5.859
13.672,15.625,5.859,3.906
6.836,12.695,2.441,-1.465
21.973,10.254,-7.324,-0.977
42.969,4.883,-3.906,17.09
26.367,9.766,5.859,11.23
6.348,12.207,5.859,-7.324
3.906,12.695,-4.883,-8.301
11.23,12.207,-13.184,-13.184
25.879,10.254,-8.789,-10.742
25.879,12.207,0.488,-0.977
20.508,11.23,2.441,3.906
6.836,12.207,2.93,1.953
5.371,11.23,0.488,-2.441
29.297,9.277,1.465,2.441
26.367,9.277,4.395,3.906
8.789,11.23,3.418,2.441
0.977,14.648,-0.977,-4.395
5.371,14.16,-9.766,-16.602
24.414,8.301,-12.695,-14.16
24.902,7.324,-7.324,-10.254
13.184,5.859,1.465,-4.395
6.348,5.859,0.0,-1.465
7.324,4.395,3.418,-9.766
24.902,0.0,9.277,-7.324
26.367,-3.906,14.16,-1.465
16.602,-0.977,8.789,1.953
14.648,0.488,-3.418,1.465
12.695,-3.906,-5.371,-9.277
28.32,-4.395,-12.207,-10.742
35.156,-0.977,-8.789,-6.348
19.531,1.465,7.324,-8.301
13.672,0.488,3.418,-8.301
6.836,5.859,-3.418,-8.301
20.02,4.883,-5.859,-10.742
34.668,3.418,-3.418,-8.789
24.414,11.719,2.93,0.0
13.184,13.184,4.395,1.465
0.977,12.207,-2.93,-9.277
14.16,8.789,-11.719,-5.859
25.391,6.836,-1.465,5.371
11.719,10.254,11.23,6.836
3.906,12.207,4.395,3.906
-6.836,12.695,0.0,-2.441
2.441,8.789,-3.418,-8.789
20.996,8.301,-2.441,-5.859
9.766,13.672,4.883,1.465
2.93,13.184,5.371,4.395
0.488,17.578,-5.859,-1.953
7.812,20.508,-10.254,-9.766
29.297,19.531,-1.465,0.488
23.438,22.949,2.93,14.648
12.207,24.414,6.348,12.207
4.883,29.785,8.789,2.441
9.277,32.715,9.766,0.0
37.109,26.855,-1.953,0.488
31.738,25.391,-2.93,-1.953
12.695,27.832,16.602,3.418
11.719,26.855,15.625,4.395
14.648,25.879,4.395,-1.953
35.156,23.438,8.301,5.371
34.18,21.973,16.113,9.277
20.996,22.949,15.137,10.742
10.742,22.949,4.883,2.441
7.324,20.02,2.93,-7.324
27.832,14.16,0.488,-1.953
26.367,18.066,3.418,-1.953
13.672,23.926,15.137,3.418
